City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Aguimes,ES,27.9054,-15.4461,62.65,68,40,27.63,scattered clouds
234,Tiarei,PF,-17.5333,-149.3333,87.82,74,38,18.92,light rain
235,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,79,18.25,light rain
236,Gravelbourg,CA,49.8834,-106.5512,19.67,87,100,17.54,light snow
237,Mehamn,NO,71.0357,27.8492,33.08,69,97,18.34,overcast clouds
238,Gongzhuling,CN,43.5008,124.8198,40.15,35,1,2.55,clear sky
239,Norman Wells,CA,65.282,-126.8329,17.64,45,20,14.97,few clouds
240,Hovd,MN,48.0056,91.6419,26.94,37,100,1.52,light snow
241,Pacific Grove,US,36.6177,-121.9166,63.41,70,100,10.36,overcast clouds
242,Voh,NC,-20.9667,164.7,78.26,84,76,2.08,broken clouds
243,Bereda,ES,43.2686,-7.5406,50.14,100,6,1.97,clear sky
244,Belaya Gora,RU,68.5333,146.4167,2.7,84,99,2.8,overcast clouds
245,Miles City,US,46.4083,-105.8406,25.77,63,100,19.57,overcast clouds
246,Avarua,CK,-21.2078,-159.775,82.45,74,88,4.61,overcast clouds
247,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,74.53,41,2,8.23,clear sky
248,Haines Junction,CA,60.7522,-137.5108,39.15,22,12,4.61,few clouds
249,Lahan,NP,26.7296,86.4951,79.02,38,1,11.83,clear sky
250,Makakilo City,US,21.3469,-158.0858,80.92,51,20,21.85,few clouds
251,Lavrentiya,RU,65.5833,-171.0,32.61,99,100,9.55,light snow
252,Beitbridge,ZW,-22.2167,30.0,75.97,57,99,4.5,overcast clouds
253,Malakal,SS,9.5334,31.6605,87.44,42,99,2.84,overcast clouds
254,Plettenberg Bay,ZA,-34.0527,23.3716,59.68,86,100,10.2,light rain
255,Peniche,PT,39.3558,-9.3811,58.28,87,0,14.56,clear sky
256,Dekar,BW,-21.5333,21.9333,73.72,40,72,7.07,broken clouds
257,Cacoal,BR,-11.4386,-61.4472,75.54,95,100,5.17,heavy intensity rain
258,Yuli,NG,9.6989,10.2744,86.61,51,78,10.13,broken clouds
259,Tashigang,BT,27.3331,91.5542,60.76,90,11,3.04,few clouds
260,Zavetnoye,RU,47.1194,43.8903,44.28,82,99,16.35,overcast clouds
261,Santa Rosa,PH,14.3122,121.1114,80.58,82,43,0.85,scattered clouds
262,Narsaq,GL,60.9167,-46.05,39.42,93,56,3.8,broken clouds
263,Raudeberg,NO,61.9875,5.1352,41.67,78,0,6.38,clear sky
264,Lugo,ES,43.0,-7.5,49.48,100,4,2.46,clear sky
265,Sokolskoye,RU,57.1412,43.1589,31.84,93,15,9.24,few clouds
266,Yerbogachen,RU,61.2767,108.0108,23.47,87,19,10.85,few clouds
267,Vyazniki,RU,56.25,42.1667,34.16,89,10,7.94,clear sky
268,Bowen,AU,-20.0167,148.2333,75.67,69,40,12.5,scattered clouds
269,Vavatenina,MG,-17.4667,49.2,71.44,97,13,3.18,few clouds
270,Vanimo,PG,-2.6741,141.3028,79.18,89,79,5.03,broken clouds
271,Umm Lajj,SA,25.0213,37.2685,73.06,60,0,9.33,clear sky
272,Sungaipenuh,ID,-2.0833,101.3833,64.31,97,100,0.96,overcast clouds
273,Sucua,EC,-2.4667,-78.1667,77.74,73,75,6.91,light rain
274,Tautira,PF,-17.7333,-149.15,81.46,73,62,18.43,broken clouds
275,Kualakapuas,ID,-3.0091,114.3876,73.58,96,73,0.92,broken clouds
276,Nizwa,OM,22.9333,57.5333,80.73,28,3,0.67,clear sky
277,Caibarien,CU,22.5206,-79.4669,85.32,75,12,16.8,few clouds
278,Mazatepec,MX,18.7167,-99.35,100.74,16,75,5.75,broken clouds
279,Hasaki,JP,35.7333,140.8333,52.2,90,100,19.91,moderate rain
280,Touros,BR,-5.1989,-35.4608,80.15,76,100,9.62,overcast clouds
281,Katsuura,JP,35.1333,140.3,51.82,94,100,17.69,moderate rain
282,Jalu,LY,29.0331,21.5482,72.82,18,53,20.92,broken clouds
283,Yulara,AU,-25.2406,130.9889,69.64,40,35,8.05,scattered clouds
284,Kaitangata,NZ,-46.2817,169.8464,55.2,70,12,4.68,few clouds
285,Ozernovskiy,RU,51.5,156.5167,30.0,68,100,22.53,light snow
286,Huangchuan,CN,32.1272,115.0394,53.19,72,100,13.06,overcast clouds
287,Upernavik,GL,72.7868,-56.1549,-9.94,97,41,8.93,scattered clouds
288,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.13,76,9,11.77,clear sky
289,Samarai,PG,-10.6167,150.6667,83.41,74,97,12.33,overcast clouds
290,Talaya,RU,61.3833,152.75,12.33,89,100,6.22,overcast clouds
291,Amurrio,ES,43.05,-3.0,55.47,83,3,0.94,clear sky
292,Padang,ID,-0.9492,100.3543,77.7,87,99,2.39,overcast clouds
293,Port-Gentil,GA,-0.7193,8.7815,81.27,80,46,4.03,scattered clouds
294,Amapa,BR,1.0,-52.0,73.83,98,99,3.74,very heavy rain
295,Jhabua,IN,22.7667,74.6,80.1,27,0,5.97,clear sky
296,Myitkyina,MM,25.3833,97.4,67.68,88,96,3.36,overcast clouds
297,Minna,NG,9.6139,6.5569,82.11,74,0,3.44,light rain
298,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,85,20,16.11,few clouds
299,Lumphat,KH,13.4878,106.9816,75.18,94,84,3.47,broken clouds
300,Maine-Soroa,NE,13.2114,12.0241,90.05,12,93,7.38,overcast clouds
301,Chapleau,CA,47.8405,-83.4034,35.69,51,75,18.41,broken clouds
302,Mizdah,LY,31.4451,12.9801,63.27,49,100,12.75,overcast clouds
303,Husavik,IS,66.0449,-17.3389,40.05,87,100,10.13,overcast clouds
304,Verkhnyaya Inta,RU,65.9811,60.3094,25.99,86,100,21.9,overcast clouds
305,Bandarbeyla,SO,9.4942,50.8122,80.33,83,12,5.53,few clouds
306,Rexburg,US,43.826,-111.7897,44.82,51,100,14.97,overcast clouds
307,Gravdal,NO,68.1214,13.5031,37.74,65,61,2.37,broken clouds
308,Rock Hill,US,34.9249,-81.0251,78.69,47,75,10.36,broken clouds
309,Kloulklubed,PW,7.0419,134.2556,79.3,76,100,10.42,overcast clouds
310,Varhaug,NO,58.6147,5.6457,43.68,89,10,3.11,clear sky
311,Haveri,IN,14.8,75.4,76.68,82,99,8.99,light rain
312,Sur,OM,22.5667,59.5289,85.55,41,27,11.65,scattered clouds
313,Cockburn Town,TC,21.4612,-71.1419,77.54,82,20,23.15,few clouds
314,Severo-Yeniseyskiy,RU,60.3725,93.0408,26.33,98,100,3.91,overcast clouds
315,Ust-Kuyga,RU,70.0167,135.6,3.04,94,74,0.81,broken clouds
316,Buala,SB,-8.145,159.5921,82.96,74,91,6.76,light rain
317,Ngaoundere,CM,7.3167,13.5833,65.05,91,100,3.11,light rain
318,Hamilton,US,39.1834,-84.5333,62.74,27,0,21.85,clear sky
319,Okha,RU,53.5739,142.9478,25.25,78,42,6.93,scattered clouds
320,Provideniya,RU,64.3833,-173.3,33.91,86,100,13.42,light snow
321,San Patricio,US,28.017,-97.5169,84.92,54,97,18.86,overcast clouds
322,Egvekinot,RU,66.3167,-179.1667,24.06,91,100,8.32,light snow
323,Mattru,SL,7.6244,-11.8332,77.83,83,99,3.15,overcast clouds
324,Lata,PT,40.1629,-8.3327,50.2,94,0,1.79,clear sky
325,Ayacucho,PE,-13.1583,-74.2239,75.06,29,20,2.3,few clouds
326,Lianzhou,CN,24.7811,112.3825,64.49,91,96,1.81,overcast clouds
327,Sulangan,PH,11.1373,123.7228,81.34,75,65,4.85,broken clouds
328,San Juan,AR,-31.5375,-68.5364,74.95,31,0,6.08,clear sky
329,Oksfjord,NO,70.2396,22.3479,30.27,97,94,6.78,light snow
330,Kruisfontein,ZA,-34.0033,24.7314,61.88,87,100,12.97,light rain
331,Okhotsk,RU,59.3833,143.3,13.35,71,11,14.27,few clouds
332,Yanam,IN,16.7333,82.2167,76.53,97,25,3.44,scattered clouds
333,Ancud,CL,-41.8697,-73.8203,54.43,85,0,2.77,clear sky
334,Fairbanks,US,64.8378,-147.7164,46.36,45,0,6.91,clear sky
335,Manakara,MG,-22.1333,48.0167,73.38,92,22,4.38,light rain
336,Tokonou,GN,9.65,-9.7833,81.07,53,100,5.77,overcast clouds
337,Isangel,VU,-19.55,169.2667,82.87,75,85,11.61,overcast clouds
338,Oleksandrivka,UA,48.9634,32.2349,45.18,80,23,4.34,few clouds
339,Komarno,SK,47.7636,18.1226,54.05,61,72,7.4,broken clouds
340,Matay,EG,28.419,30.7792,63.09,41,0,13.58,clear sky
341,Uige,AO,-7.6087,15.0613,68.45,98,100,0.85,moderate rain
342,Mendoza,AR,-32.8908,-68.8272,72.93,33,0,8.05,clear sky
343,Salekhard,RU,66.53,66.6019,24.67,79,74,18.03,broken clouds
344,Rancho Veloz,CU,22.8806,-80.3917,82.53,64,3,19.91,light rain
345,Dunedin,NZ,-45.8742,170.5036,57.99,64,0,2.93,clear sky
346,North Bend,US,43.4065,-124.2243,52.25,85,71,9.46,broken clouds
