City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Rexburg,US,44.82,overcast clouds,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
308,Rock Hill,US,78.69,broken clouds,34.9249,-81.0251,DDCSVC
309,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
310,Varhaug,NO,43.68,clear sky,58.6147,5.6457,Jonas Bue
311,Haveri,IN,76.68,light rain,14.8,75.4,Shivashakti Palace
313,Cockburn Town,TC,77.54,few clouds,21.4612,-71.1419,Osprey Beach Hotel
317,Ngaoundere,CM,65.05,light rain,7.3167,13.5833,Hotel Mentong Palace
318,Hamilton,US,62.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
323,Mattru,SL,77.83,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
324,Lata,PT,50.2,clear sky,40.1629,-8.3327,Casa Maquia
325,Ayacucho,PE,75.06,few clouds,-13.1583,-74.2239,Hotel Incasol
326,Lianzhou,CN,64.49,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
328,San Juan,AR,74.95,clear sky,-31.5375,-68.5364,Hotel Provincial
330,Kruisfontein,ZA,61.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
332,Yanam,IN,76.53,scattered clouds,16.7333,82.2167,The Regency Hotel
333,Ancud,CL,54.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
334,Fairbanks,US,46.36,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
335,Manakara,MG,73.38,light rain,-22.1333,48.0167,La Residence Manakara
338,Oleksandrivka,UA,45.18,few clouds,48.9634,32.2349,Смт олександрівка
339,Komarno,SK,54.05,broken clouds,47.7636,18.1226,Hotel Bow Garden
340,Matay,EG,63.09,clear sky,28.419,30.7792,Nag Aespen
341,Uige,AO,68.45,moderate rain,-7.6087,15.0613,Hotel Catraio
342,Mendoza,AR,72.93,clear sky,-32.8908,-68.8272,Hotel Mendoza
345,Dunedin,NZ,57.99,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
346,North Bend,US,52.25,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
347,Clifton,US,73.44,thunderstorm,40.8584,-74.1638,Quality Urban Housing
349,Arona,ES,59.13,few clouds,28.0996,-16.681,Paradise Court
350,Wembley,AU,63.03,clear sky,-31.9333,115.8,Cambridge Atrium
351,Payo,ID,71.65,broken clouds,-3.7508,103.6372,Mess keban agung
354,Salinopolis,BR,78.51,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
355,Bertoua,CM,68.22,overcast clouds,4.5833,13.6833,Hotel De Paris
359,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
360,Te Anau,NZ,52.92,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
